player_id,player_name,nationality,position,team_id
38644,Hector Adolfo Enrique,Argentina,Midfielder,779
38645,Sergio Daniel Batista,Argentina,Midfielder,779
38646,Jorge Luis Burruchaga,Argentina,Midfielder,779
38647,Jorge Alberto Francisco Valdano Castellano,Argentina,Forward,779
38648,Steve Hodge,England,Midfielder,768
38649,Gary Michael Stevens,England,Defender,768
38650,Kenny Sansom,England,Defender,768
38651,Trevor Steven,England,Midfielder,768
38652,Chris Waddle,England,Midfielder,768
38653,Terry Fenwick,England,Defender,768
38654,Ricardo Omar Giusti,Argentina,Midfielder,779
38655,Carlos Daniel Tapia,Argentina,Midfielder,779
38656,Peter Reid,England,Midfielder,768
38657,Oscar Alfredo Ruggeri Zocola,Argentina,Defender,779
38658,Peter Shilton,England,Goalkeeper,768
38659,Terry Butcher,England,Defender,768
38660,Glenn Hoddle,England,Midfielder,768
38661,Julio Jorge Olarticoechea,Argentina,Midfielder,779
38662,Gary Lineker,England,Forward,768
38673,Guido Buchwald,Germany,Defender,174
38676,Andreas Brehme,Germany,Defender,770
38681,Ivano Bonetti,Italy,Midfielder,224
38687,Jose Ramon Alexanko Ventosa,Spain,Defender,217
38688,Andoni Goikoetxea,Spain,Defender,215
38691,Srecko Katanec,Slovenia,Midfielder,174
38697,Renato Buso,Italy,,224
38718,Enzo Fernandez,Argentina,Midfielder,779
38759,Benjamin Sesko,Slovenia,Forward,182
38786,Denis Franchi,Italy,,131
38792,Yunus Dimoara Musah,United States of America,Midfielder,1839
38803,Goncalo Matias Ramos,Portugal,Forward,780
38815,Thierno Balde,France,Defender,133
38832,Luis Federico Lopez Andugar,Spain,,220
38837,Youssoufa Moukoko,Germany,Forward,180
38862,Raphael Onyedika,Nigeria,Midfielder,775
38885,Matthis Abline,France,,167
38909,Nicolo Fagioli,Italy,Midfielder,914
38917,Tom Krauss,Germany,Forward,177
38941,Theocharis Tsiggaras,Greece,,130
38975,Georgiy Sudakov,Ukraine,Midfielder,911
38991,Eric Martel,Germany,Midfielder,186
39018,Sinaly Diomande,Cote d'Ivoire,Defender,137
39070,Ansgar Knauff,Germany,Defender,184
39073,Moriba Kourouma Kourouma,Guinea,Midfielder,4892
39083,Guillem Molina Gutierrez,Spain,,207
39092,Ian Maatsen,Netherlands,Defender,180
39120,Flavius Daniliuc,Austria,Defender,136
39126,Junior Chukwubuike Adamu,Austria,Midfielder,183
39136,Illia Zabarnyi,Ukraine,Defender,911
39143,Matej Jurasek,Czech Republic,Midfielder,912
39159,Arnau Tenas Urena,Spain,,217
39160,Bartol Franjic,Croatia,Midfielder,872
39161,Alejandro Balde Martinez,Spain,Defender,772
39164,Koba Lein Koindredi,France,,207
39167,Xavi Simons,Netherlands,Midfielder,182
39174,Ismael Saibari,Morocco,Midfielder,788
39179,Hugo Novoa Ramos,Spain,,182
39245,Lorenz Assignon,France,Forward,134
39254,Bartug Elmaz,Turkey,,147
39259,Malik Tillman,United States of America,Defender,1839
39260,Malo Gusto,France,Defender,137
39265,Warmed Omari,France,Defender,134
39273,Maksim Mukhin,Russia,Midfielder,796
39338,Lukas Cerv,Czech Republic,,912
39360,Angelo Stiller,Germany,Midfielder,174
39420,Bradley Barcola,France,Forward,137
39460,Nicolas Seiwald,Austria,Midfielder,182
39461,Cole Palmer,England,Forward,768
39469,Konrad De La Fuente,United States of America,Defender,217
39483,Mykhailo Mudryk,Ukraine,Forward,911
