match_id,competition_id,match_date,home_team_id,away_team_id,home_goals,away_goals,season
3930162,55,2024-06-16,944,776,1,1,2024
3930163,55,2024-06-16,786,768,0,1,2024
3930164,55,2024-06-17,782,908,0,1,2024
3930165,55,2024-06-17,915,771,0,1,2024
3930166,55,2024-06-18,780,912,2,1,2024
3930167,55,2024-06-19,785,906,2,2,2024
3930168,55,2024-06-19,770,916,2,0,2024
3930169,55,2024-06-19,942,773,1,1,2024
3930170,55,2024-06-20,944,786,1,1,2024
3930171,55,2024-06-20,776,768,1,1,2024
3930172,55,2024-06-20,772,914,1,0,2024
3930173,55,2024-06-21,941,771,0,0,2024
3930174,55,2024-06-22,909,780,0,3,2024
3930175,55,2024-06-22,782,905,2,0,2024
3930176,55,2024-06-23,773,770,1,1,2024
3930177,55,2024-06-23,942,916,0,1,2024
3930178,55,2024-06-24,785,914,1,1,2024
3930179,55,2024-06-24,906,772,0,1,2024
3930180,55,2024-06-25,941,915,2,3,2024
3930181,55,2024-06-25,768,944,0,0,2024
3930182,55,2024-06-25,776,786,0,0,2024
3930183,55,2024-06-26,908,905,1,1,2024
3930184,55,2024-06-26,912,909,1,2,2024
3938637,55,2024-06-16,789,941,1,2,2024
3938638,55,2024-06-17,905,911,3,0,2024
3938639,55,2024-06-18,909,2138,3,1,2024
3938640,55,2024-06-21,908,911,1,2,2024
3938641,55,2024-06-21,789,915,1,3,2024
3938642,55,2024-06-22,2138,912,1,1,2024
3938643,55,2024-06-25,771,789,1,1,2024
3938644,55,2024-06-26,2138,780,2,0,2024
3938645,55,2024-06-26,911,782,0,0,2024
3939969,223,2024-06-21,779,1833,2,0,2024
3939970,223,2024-06-22,784,3562,0,0,2024
3939971,223,2024-06-23,794,2305,1,0,2024
3939972,223,2024-06-22,3565,3563,1,2,2024
3939973,223,2024-06-24,783,798,3,1,2024
3939974,223,2024-06-23,1839,3564,2,0,2024
3939975,223,2024-06-24,769,3567,2,1,2024
3939976,223,2024-06-25,781,795,0,0,2024
3939977,223,2024-06-26,3562,779,0,1,2024
3939978,223,2024-06-25,784,1833,0,1,2024
3939979,223,2024-06-27,3563,794,1,0,2024
3939980,223,2024-06-26,3565,2305,3,1,2024
3939981,223,2024-06-27,798,1839,2,1,2024
3939982,223,2024-06-28,783,3564,5,0,2024
3939983,223,2024-06-29,3567,781,1,4,2024
3939984,223,2024-06-28,769,795,3,0,2024
3939985,223,2024-06-30,1833,3562,0,0,2024
3939986,223,2024-06-30,779,784,2,0,2024
3939987,223,2024-07-01,2305,3563,0,3,2024
3939988,223,2024-07-01,794,3565,0,0,2024
3939989,223,2024-07-02,3564,798,1,3,2024
3939990,223,2024-07-02,1839,783,0,1,2024
3939991,223,2024-07-03,781,769,1,1,2024
3939992,223,2024-07-03,795,3567,2,1,2024
3940878,55,2024-06-29,773,914,2,0,2024
3940983,55,2024-06-29,770,776,2,0,2024
3941017,55,2024-06-30,768,908,2,1,2024
3941018,55,2024-06-30,772,2138,4,1,2024
3941019,55,2024-07-01,771,782,1,0,2024
3941020,55,2024-07-01,780,944,0,0,2024
3941021,55,2024-07-02,905,941,0,3,2024
3941022,55,2024-07-02,915,909,1,2,2024
3942226,55,2024-07-05,772,770,2,1,2024
3942227,55,2024-07-06,768,773,1,1,2024
3942228,223,2024-07-05,779,3565,1,1,2024
3942229,223,2024-07-06,3563,1833,1,1,2024
3942349,55,2024-07-05,780,771,0,0,2024
3942382,55,2024-07-06,941,909,2,1,2024
3942415,223,2024-07-07,783,781,0,0,2024
3942416,223,2024-07-06,769,798,5,0,2024
3942752,55,2024-07-09,772,771,2,1,2024
3942785,223,2024-07-10,779,1833,2,0,2024
3942819,55,2024-07-10,941,768,1,2,2024
3942852,223,2024-07-11,783,769,0,1,2024
3943043,55,2024-07-14,772,768,2,1,2024
3943076,223,2024-07-14,1833,783,2,2,2024
3943077,223,2024-07-15,779,769,1,0,2024
3998836,53,2025-07-02,862,920,0,1,2025
3998837,53,2025-07-02,860,852,1,2,2025
3998838,53,2025-07-03,854,855,0,1,2025
3998839,53,2025-07-03,863,864,5,0,2025
3998840,53,2025-07-04,857,29167,2,0,2025
3998841,53,2025-07-04,853,858,0,1,2025
3998842,53,2025-07-05,2456,851,0,3,2025
3998843,53,2025-07-05,861,865,2,1,2025
3998844,53,2025-07-06,860,862,2,0,2025
3998845,53,2025-07-06,852,920,2,1,2025
3998846,53,2025-07-07,864,855,1,1,2025
3998847,53,2025-07-07,863,854,6,2,2025
3998848,53,2025-07-08,29167,858,0,3,2025
3998849,53,2025-07-08,857,853,2,1,2025
3998850,53,2025-07-09,861,2456,4,1,2025
3998851,53,2025-07-09,865,851,4,0,2025
3998852,53,2025-07-10,920,860,1,1,2025
3998853,53,2025-07-10,852,862,4,3,2025
3998854,53,2025-07-11,864,854,1,2,2025
3998855,53,2025-07-11,855,863,1,3,2025
3998856,53,2025-07-12,858,857,4,1,2025
3998857,53,2025-07-12,29167,853,3,2,2025
3998858,53,2025-07-13,865,2456,6,1,2025
3998859,53,2025-07-13,851,861,2,5,2025
4018354,53,2025-07-16,852,855,1,2,2025
4018355,53,2025-07-17,858,865,2,2,2025
4018356,53,2025-07-18,863,860,2,0,2025
4018357,53,2025-07-19,861,857,1,1,2025
4020005,53,2025-07-22,865,855,2,1,2025
4020077,53,2025-07-23,857,863,0,1,2025
4020846,53,2025-07-27,865,863,1,1,2025
