team_id,team_name,country,stadium
11558,Como W,Italy,Stadio Ferruccio
11864,FC Levante Badalona,Spain,Camp Municipal Les Planes
16768,Republic of Ireland Women's,Ireland,Victoria Park
16769,Vietnam Women's,Vietnam,Forsyth Barr
16802,Colombia Women's,Colombia,Allianz Stadium (Sydney)
16803,Panama Women's,Panama,Allianz Stadium (Sydney)
17403,Soviet Union U20,Russia,Japan National Stadium (Tokyo (Tokyo))
17469,Czechoslovakia,Czech Republic,Estadio Jalisco
18938,Granada W,Spain,Ciudad Deportiva del Granada CF
19106,Nurnberg W,Germany,Max-Morlock-Stadion
19107,RB Leipzig W,Germany,Trainingszentrum RB Leipzig Platz 1
29167,Poland Women's,Poland,swissporarena
